field_name,field_type,kind,allowmultivalues,occurrences,placed_on_form_body,has_hidewhen,hidden_modes,likely_displayed
JDATE_Y_2,number,editable,,1,True,False,,高い(画面配置あり)
JIKAN,number,editable,,1,True,False,,高い(画面配置あり)
JIKAN2,number,editable,,1,True,False,,高い(画面配置あり)
JIKAN_2_1,number,editable,,1,True,False,,高い(画面配置あり)
JIKAN_2_2,number,editable,,1,True,False,,高い(画面配置あり)
JIKAN_3,number,editable,,1,True,False,,高い(画面配置あり)
JIKAN_4,number,editable,,1,True,False,,高い(画面配置あり)
JIKAN_5,number,editable,,1,True,False,,高い(画面配置あり)
JTIME_H,text,editable,,1,True,False,,高い(画面配置あり)
JTIME_M,text,editable,,1,True,False,,高い(画面配置あり)
KAISHA,text,editable,,1,True,False,,高い(画面配置あり)
kana,text,editable,,1,True,False,,高い(画面配置あり)
KANJIKAN1,text,editable,,1,True,False,,高い(画面配置あり)
KANJIKAN2,text,editable,,1,True,False,,高い(画面配置あり)
KANJIKAN3,text,editable,,1,True,False,,高い(画面配置あり)
KANKEI1,text,editable,,1,True,False,,高い(画面配置あり)
KANKEI2,text,editable,,1,True,False,,高い(画面配置あり)
KANKEI3,text,editable,,1,True,False,,高い(画面配置あり)
KDATE_D_2,number,editable,,1,True,False,,高い(画面配置あり)
KDATE_M_2,number,editable,,1,True,False,,高い(画面配置あり)
KDATE_Y_2,number,editable,,1,True,False,,高い(画面配置あり)
KnowDBName,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
KnowDBName_1,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
KOSHO,keyword,editable,true,1,True,False,,高い(画面配置あり)
KOUSINBI,text,editable,,1,True,False,,高い(画面配置あり)
KYOUIKU,keyword,editable,true,1,True,False,,高い(画面配置あり)
lasthistory,text,editable,true,1,True,False,,高い(画面配置あり)
LEVEL,keyword,editable,,1,True,False,,高い(画面配置あり)
LEVEL2,keyword,editable,,1,True,False,,高い(画面配置あり)
ListDBName,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
MailAddress,text,editable,,1,True,False,,高い(画面配置あり)
mailbody,text,computedfordisplay,true,1,True,False,,高い(画面配置あり)
mailitem,text,computed,true,1,True,False,,高い(画面配置あり)
MEKER_K,text,editable,,1,True,False,,高い(画面配置あり)
Memo,text,editable,,1,True,False,,高い(画面配置あり)
mng_no,text,editable,true,1,True,False,,高い(画面配置あり)
mobile_tel_no,text,editable,,1,True,False,,高い(画面配置あり)
