ViewName,ColumnIndex,ColumnTitle,ItemName,Formula,IsCategory,IsHidden
"基本\担当者別日付別全ｺｰﾙ","1","","$59","@Text(SDATE_Y)+""/""+@Right(""0""+@Text(SDATE_M);2)+""/""+@Right(""0""+@Text(SDATE_D);2)","1","0"
"基本\担当者別日付別全ｺｰﾙ","2","","$60","1","0","0"
"基本\担当者別日付別全ｺｰﾙ","3","","$58","@If(status=""OPEN"";38;status =""調査中"";56;status =""資料待ち"";50;status=""ｾｶﾝﾄﾞﾗｲﾝ回答待ち"";160;status=""連絡待ち"";44;status=""再現待ち"";91;status=""再ｾｯﾄｱｯﾌﾟ"";97;status=""二次へｴｽｶﾚｰｼｮﾝ"";152;status=""関連部門へｴｽｶﾚｰｼｮﾝ"";153;status=""SD内ｴｽｶﾚｰｼｮﾝ"";160;165)","0","0"
"基本\担当者別日付別全ｺｰﾙ","4","","status","","0","0"
"基本\担当者別日付別全ｺｰﾙ","5","管理番号","mng_no","","0","1"
"基本\担当者別日付別全ｺｰﾙ","6","事業所名","customername","customername","0","0"
"基本\担当者別日付別全ｺｰﾙ","7","ユーザー名","customername_2","","0","0"
"基本\担当者別日付別全ｺｰﾙ","8","質問概要","outline","","0","0"
